time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.errors,.cmds,.ekf_output,.e_m,.e_m_dot,.time
1970/01/01/02:06:43.282000,1930,0,0,,"(-0.6303422451019287, 0.2012471854686737, -0.5996379852294922, 0.16911613941192627, -0.3957146108150482, 0.12279938161373138, -0.45195603370666504, 0.13171881437301636)","(1.0230953693389893, 0.38253095746040344, 0.013285852037370205, 0.04571569338440895)","(-0.5188921689987183, -1.1188430786132812, 0.9166234135627747, 0.9583117365837097)","(-0.5194126963615417,)","(-1.1200875043869019,)",403.277008057
1970/01/01/02:06:43.307000,1931,0,0,,"(-0.6487040519714355, 0.19757981598377228, -0.619385302066803, 0.16776210069656372, -0.4119623601436615, 0.11096020042896271, -0.46601203083992004, 0.11809525638818741)","(1.1156063079833984, 0.30875977873802185, 0.014066535979509354, 0.037716466933488846)","(-0.5359783172607422, -1.1401952505111694, 0.9152023792266846, 0.9576011896133423)","(-0.5365159511566162,)","(-1.14146089553833,)",403.302001953
1970/01/01/02:06:43.333000,1932,0,0,,"(-0.6592702269554138, 0.19915930926799774, -0.6313318610191345, 0.17103010416030884, -0.42274510860443115, 0.10528430342674255, -0.47551217675209045, 0.11351384222507477)","(1.1020234823226929, 0.28204450011253357, 0.015078486874699593, 0.023411883041262627)","(-0.5466665625572205, -0.9076265096664429, 0.9306802749633789, 0.9653401374816895)","(-0.5472148656845093,)","(-0.9086611270904541,)",403.32699585
1970/01/01/02:06:43.366000,1933,0,0,,"(-0.6631767153739929, 0.20447947084903717, -0.6360827684402466, 0.17689016461372375, -0.424783319234848, 0.10704585164785385, -0.47759121656417847, 0.11892347782850266)","(0.988182544708252, 0.3052661418914795, 0.01606133207678795, 0.0075066108256578445)","(-0.5498570203781128, -0.5503588914871216, 0.9544571042060852, 0.977228581905365)","(-0.5504084825515747,)","(-0.5510386228561401,)",403.360992432
1970/01/01/02:06:43.407000,1934,0,0,,"(-0.6588676571846008, 0.20918072760105133, -0.6315721869468689, 0.18079537153244019, -0.41820016503334045, 0.1137227863073349, -0.47194284200668335, 0.12501260638237)","(0.861546516418457, 0.19800883531570435, 0.01629953272640705, -0.04834199324250221)","(-0.5445994734764099, -0.1009117066860199, 0.9843686819076538, 0.9921843409538269)","(-0.5451456904411316,)","(-0.10114501416683197,)",403.402008057
1970/01/01/02:06:43.447000,1935,0,0,,"(-0.8580974340438843, 0.2172422856092453, -0.5295864939689636, -1.7856848239898682, -0.21719278395175934, 0.12458310276269913, -0.4974859654903412, 2.086613416671753)","(19.819107055664062, 37.639686584472656, -0.0031934252474457026, 9.889958381652832)","(-0.5250639319419861, 0.41855818033218384, 1.0189403295516968, 1.0094702243804932)","(-0.5255906581878662,)","(0.4188408851623535,)",403.442993164
1970/01/01/02:06:43.496000,1936,0,0,,"(-0.824459969997406, 0.19945485889911652, -0.5049497485160828, -1.7787630558013916, -0.19513143599033356, 0.12859302759170532, -0.46837031841278076, 2.0732131004333496)","(19.82887077331543, 37.5233268737793, -0.008043386042118073, 9.93693733215332)","(-0.49772846698760986, 0.6540257334709167, 1.0346112251281738, 1.017305612564087)","(-0.4982278645038605,)","(0.6545423269271851,)",403.489013672
1970/01/01/02:06:43.524000,1937,0,0,,"(-0.5813853144645691, 0.18326030671596527, -0.5375524163246155, 0.14242339134216309, -0.3272422254085541, 0.12428510189056396, -0.39256781339645386, 0.1308279186487198)","(0.6802675127983093, -0.021546745672822, 0.006636448670178652, -0.1560564935207367)","(-0.45922601222991943, 0.9616454243659973, 1.0550838708877563, 1.0275418758392334)","(-0.45968693494796753,)","(0.962467610836029,)",403.510009766
1970/01/01/02:06:43.540000,1938,0,0,,"(-0.5638526082038879, 0.1834542155265808, -0.5246756076812744, 0.14745931327342987, -0.3344210982322693, 0.12433361262083054, -0.39256781339645386, 0.13080133497714996)","(0.5731489062309265, 0.06041301414370537, 0.0066314986906945705, -0.12367803603410721)","(-0.4534241259098053, 0.8150426149368286, 1.0453271865844727, 1.0226635932922363)","(-0.4538792669773102,)","(0.8157191872596741,)",403.540008545
1970/01/01/02:06:43.583000,1939,0,0,,"(-0.7587975263595581, 0.1758861392736435, -0.4585079848766327, -1.7886580228805542, -0.14861908555030823, 0.11754125356674194, -0.40571051836013794, 2.051279067993164)","(19.066465377807617, 34.06987380981445, -0.01245085522532463, 9.214532852172852)","(-0.44246456027030945, 0.6571565270423889, 1.0348196029663086, 1.0174098014831543)","(-0.44290876388549805,)","(0.6576762199401855,)",403.57598877
1970/01/01/02:06:43.620000,1940,0,0,,"(-0.7521672248840332, 0.16265001893043518, -0.4556652009487152, -1.791947364807129, -0.14581327140331268, 0.11379233747720718, -0.40027570724487305, 2.0386500358581543)","(18.57565689086914, 34.24732208251953, -0.013296748511493206, 9.287819862365723)","(-0.438040554523468, 0.45676228404045105, 1.0214829444885254, 1.0107414722442627)","(-0.43848034739494324,)","(0.45708292722702026,)",403.605010986
1970/01/01/02:06:43.634000,1941,0,0,,"(-0.7523839473724365, 0.16742531955242157, -0.4556652009487152, -1.7919739484786987, -0.14581327140331268, 0.11376576125621796, -0.4004167914390564, 2.043443202972412)","(18.838546752929688, 34.198692321777344, -0.013343622907996178, 9.27478313446045)","(-0.4381299316883087, 0.10685552656650543, 0.998196005821228, 0.999098002910614)","(-0.4385697841644287,)","(0.10682860016822815,)",403.62399292
1970/01/01/02:06:43.655000,1942,0,0,,"(-0.5231761336326599, 0.1670229285955429, -0.4774869680404663, 0.12501521408557892, -0.2826189398765564, 0.1159658282995224, -0.34777992963790894, 0.12173222750425339)","(0.6713550686836243, 0.10418350249528885, 0.0024925917387008667, -0.08112387359142303)","(-0.4073563516139984, 0.2966631352901459, 1.0108280181884766, 1.0054140090942383)","(-0.4077655076980591,)","(0.29682475328445435,)",403.643005371
1970/01/01/02:06:43.682000,1943,0,0,,"(-0.50605309009552, 0.16262952983379364, -0.4693411886692047, 0.12606404721736908, -0.29572594165802, 0.11010086536407471, -0.35286152362823486, 0.1129472404718399)","(0.5942815542221069, 0.03369011729955673, 0.004191161599010229, -0.08240770548582077)","(-0.4055880606174469, 0.12524566054344177, 0.9994198679924011, 0.999709963798523)","(-0.4059954285621643,)","(0.12523700296878815,)",403.682006836
1970/01/01/02:06:43.700000,1944,0,0,,"(-0.4973717927932739, 0.1627289205789566, -0.460694819688797, 0.12616409361362457, -0.2993371784687042, 0.11011863499879837, -0.35286152362823486, 0.11292065680027008)","(0.5885722637176514, 0.14516253769397736, 0.0037741786800324917, -0.04821265861392021)","(-0.4021623730659485, 0.09284842759370804, 0.9972637891769409, 0.9986318945884705)","(-0.4025663137435913,)","(0.0928075909614563,)",403.697998047
1970/01/01/02:06:43.736000,1945,0,0,,"(-0.4778316617012024, 0.1680193543434143, -0.4114077389240265, 0.13214661180973053, -0.27491632103919983, 0.11255916953086853, -0.35389894247055054, 0.11917561292648315)","(0.8528544902801514, 0.45008134841918945, 0.004293921869248152, 0.036056626588106155)","(-0.3791327178478241, 0.3054687976837158, 1.0114140510559082, 1.005707025527954)","(-0.379513680934906,)","(0.3056391477584839,)",403.726013184
1970/01/01/02:06:43.790000,1946,0,0,,"(-0.5312396883964539, 0.17265626788139343, -0.4560891091823578, 0.12789730727672577, -0.22567765414714813, 0.10982102900743484, -0.3114035725593567, 0.11697100847959518)","(1.0852054357528687, 0.3800674378871918, 0.000839396205265075, -0.004425483290106058)","(-0.38071998953819275, 0.0733264908194542, 0.9959645867347717, 0.9979822635650635)","(-0.3811025023460388,)","(0.07326626032590866,)",403.783996582
1970/01/01/02:06:43.826000,1947,0,0,,"(-0.47137606143951416, 0.16419203579425812, -0.4314440190792084, 0.12493148446083069, -0.2613299489021301, 0.10425721853971481, -0.32091307640075684, 0.11189266294240952)","(0.5711448788642883, 0.186323881149292, 0.004893031436949968, -0.036823637783527374)","(-0.37089306116104126, 0.06521015614271164, 0.9954243898391724, 0.9977121949195862)","(-0.3712657690048218,)","(0.06514186412096024,)",403.816009521
1970/01/01/02:06:43.847000,1948,0,0,,"(-0.47718921303749084, 0.16504277288913727, -0.4335692524909973, 0.13149729371070862, -0.2668388783931732, 0.1021992489695549, -0.32585686445236206, 0.10707902908325195)","(0.6229673624038696, 0.22019600868225098, 0.00540397223085165, -0.020619351416826248)","(-0.37548625469207764, -0.05803537741303444, 0.9872221946716309, 0.9936110973358154)","(-0.37586355209350586,)","(-0.0582260936498642,)",403.846984863
1970/01/01/02:06:43.872000,1949,0,0,,"(-0.4728146493434906, 0.16500434279441833, -0.4290231168270111, 0.12663546204566956, -0.2668388783931732, 0.10217266529798508, -0.32594555616378784, 0.11042675375938416)","(0.6570348143577576, 0.35450711846351624, 0.005181998014450073, 0.021123409271240234)","(-0.37328046560287476, -0.20381145179271698, 0.9775205254554749, 0.988760232925415)","(-0.3736555576324463,)","(-0.20414696633815765,)",403.869995117
1970/01/01/02:06:43.901000,1950,0,0,,"(-0.48458331823349, 0.16607262194156647, -0.4367285966873169, 0.12813037633895874, -0.2658722996711731, 0.10155516117811203, -0.328436940908432, 0.11010634899139404)","(0.6991583704948425, 0.3597917854785919, 0.005496324971318245, 0.018579285591840744)","(-0.3785249590873718, -0.12348268926143646, 0.9828665256500244, 0.9914332628250122)","(-0.3789052963256836,)","(-0.12373840808868408,)",403.899993896
1970/01/01/02:06:43.941000,1951,0,0,,"(-0.49896755814552307, 0.1669243574142456, -0.4245246350765228, 0.12422168999910355, -0.20180386304855347, 0.09827255457639694, -0.28618818521499634, 0.10687199234962463)","(0.9611965417861938, 0.4400465190410614, 0.0029828203842043877, 0.025169018656015396)","(-0.35251671075820923, 0.034305181354284286, 0.993367612361908, 0.9966838359832764)","(-0.3528710603713989,)","(0.03420618921518326,)",403.930999756
1970/01/01/02:06:43.965000,1952,0,0,,"(-0.5014746785163879, 0.1587025672197342, -0.4267042577266693, 0.11643783003091812, -0.20615671575069427, 0.09080780297517776, -0.289977103471756, 0.09973319619894028)","(0.9871810078620911, 0.4496166706085205, 0.003251045709475875, 0.037920285016298294)","(-0.3557206392288208, -0.0235267523676157, 0.9895188212394714, 0.9947593808174133)","(-0.356078177690506,)","(-0.02368318662047386,)",403.959014893
1970/01/01/02:06:43.988000,1953,0,0,,"(-0.6430875658988953, 0.15132683515548706, -0.37328383326530457, -1.8278743028640747, -0.0991470217704773, 0.08201804757118225, -0.337178498506546, 2.0215208530426025)","(19.480627059936523, 36.01051712036133, -0.010597542859613895, 10.011720657348633)","(-0.36280959844589233, -0.2188817262649536, 0.9765175580978394, 0.9882587790489197)","(-0.3631742298603058,)","(-0.2192322164773941,)",403.976989746
1970/01/01/02:06:43.999000,1954,0,0,,"(-0.6430875658988953, 0.15130025148391724, -0.37328383326530457, -1.8279008865356445, -0.0991470217704773, 0.08199146389961243, -0.337178498506546, 2.021494150161743)","(19.476951599121094, 36.0057373046875, -0.010594616644084454, 10.009466171264648)","(-0.36280959844589233, -0.1797434538602829, 0.9791222810745239, 0.989561140537262)","(-0.3631742298603058,)","(-0.18005506694316864,)",403.99899292
1970/01/01/02:06:44.036000,1955,0,0,,"(-0.6512149572372437, 0.1445283591747284, -0.3831776976585388, -1.838059425354004, -0.10805627703666687, 0.07269745320081711, -0.3452400267124176, 2.013603925704956)","(19.014463424682617, 36.80331802368164, -0.009144693613052368, 10.19576358795166)","(-0.3715488612651825, -0.4751885235309601, 0.9594598412513733, 0.979729950428009)","(-0.37192225456237793,)","(-0.47579360008239746,)",404.033996582
1970/01/01/02:06:44.107000,1956,0,0,,"(-0.6578173041343689, 0.14205466210842133, -0.39033520221710205, -1.8438804149627686, -0.11456555873155594, 0.06753203272819519, -0.35160812735557556, 2.010288715362549)","(18.769939422607422, 37.28129196166992, -0.008099141530692577, 10.297113418579102)","(-0.37820154428482056, -0.39833879470825195, 0.9645743370056152, 0.9822871685028076)","(-0.37858155369758606,)","(-0.39886754751205444,)",404.087005615
1970/01/01/02:06:44.138000,1957,0,0,,"(-0.5236029624938965, 0.1481354534626007, -0.48009762167930603, 0.10435749590396881, -0.2146662324666977, 0.07438100129365921, -0.2668965458869934, 0.08579748868942261)","(0.680221676826477, 0.23340800404548645, 0.004262853413820267, -0.020934587344527245)","(-0.3709430694580078, 3.836064934148453e-05, 0.9910870790481567, 0.9955435395240784)","(-0.3713158369064331,)","(-9.466764458920807e-05,)",404.132995605
1970/01/01/02:06:44.151000,1958,0,0,,"(-0.5179269313812256, 0.1649235337972641, -0.47511550784111023, 0.11989732086658478, -0.20491471886634827, 0.09033054858446121, -0.2586861550807953, 0.10077880322933197)","(0.6298962831497192, 0.20336155593395233, 0.0036041156854480505, -0.051015522330999374)","(-0.3637951910495758, 0.1493644118309021, 1.0010250806808472, 1.0005124807357788)","(-0.36416083574295044,)","(0.14937971532344818,)",404.151000977
1970/01/01/02:06:44.183000,1959,0,0,,"(-0.50956130027771, 0.187715083360672, -0.4632223844528198, 0.1408209651708603, -0.18795207142829895, 0.11137007176876068, -0.247397780418396, 0.12047284096479416)","(0.5889860987663269, 0.18576745688915253, 0.0021790857426822186, -0.08717595785856247)","(-0.35167986154556274, 0.37838199734687805, 1.0162665843963623, 1.0081332921981812)","(-0.3520333766937256,)","(0.3786247968673706,)",404.178009033
1970/01/01/02:06:44.214000,1960,0,0,,"(-0.49972689151763916, 0.20857830345630646, -0.45406702160835266, 0.1597006916999817, -0.16720540821552277, 0.13051223754882812, -0.22846506536006927, 0.13828755915164948)","(0.49796244502067566, 0.13758914172649384, -0.00030805691494606435, -0.13070455193519592)","(-0.3370271921157837, 0.5349904298782349, 1.0266891717910767, 1.0133445262908936)","(-0.33736610412597656,)","(0.5353887677192688,)",404.20199585
1970/01/01/02:06:44.246000,1961,0,0,,"(-0.5754472017288208, 0.21828335523605347, -0.29789334535598755, -1.7669970989227295, -0.028262093663215637, 0.1402159184217453, -0.26653316617012024, 2.0923023223876953)","(21.394987106323242, 26.589996337890625, -0.01620439998805523, 7.644516468048096)","(-0.2917402982711792, 0.7685590386390686, 1.0422335863113403, 1.021116852760315)","(-0.29203394055366516,)","(0.7691894173622131,)",404.239013672
1970/01/01/02:06:44.294000,1962,0,0,,"(-0.48514410853385925, 0.2194758802652359, -0.4342315196990967, 0.1632697731256485, -0.11723599582910538, 0.13640311360359192, -0.18326862156391144, 0.1459062099456787)","(0.5029183626174927, 0.16067177057266235, -0.007142498157918453, -0.13926608860492706)","(-0.3046635091304779, 0.5126128196716309, 1.0251998901367188, 1.0125999450683594)","(-0.30497005581855774,)","(0.5129889249801636,)",404.287994385
1970/01/01/02:06:44.346000,1963,0,0,,"(-0.4842093884944916, 0.20571894943714142, -0.4630591571331024, 0.14933255314826965, -0.14038388431072235, 0.12408105283975601, -0.1843872219324112, 0.13668808341026306)","(0.31458231806755066, -0.025790777057409286, -0.006346038542687893, -0.16785040497779846)","(-0.31769034266471863, 0.19335722923278809, 1.0039528608322144, 1.0019763708114624)","(-0.3180099129676819,)","(0.19341622292995453,)",404.333007812
1970/01/01/02:06:44.376000,1964,0,0,,"(-0.5332470536231995, 0.19596931338310242, -0.49754777550697327, 0.13542558252811432, -0.1328882873058319, 0.11363145709037781, -0.18684613704681396, 0.1266758143901825)","(0.5360041856765747, -0.020973673090338707, -0.007521453313529491, -0.15872722864151)","(-0.3372931480407715, -0.08754821121692657, 0.9852580428123474, 0.9926290512084961)","(-0.33763229846954346,)","(-0.08776824176311493,)",404.368011475
1970/01/01/02:06:44.420000,1965,0,0,,"(-0.5363587737083435, 0.16309963166713715, -0.5029981136322021, 0.1043006032705307, -0.14668764173984528, 0.08743950724601746, -0.19484098255634308, 0.10149887204170227)","(0.5868182182312012, 0.015071144327521324, -0.004849033430218697, -0.10449208319187164)","(-0.34487465023994446, -0.5818381905555725, 0.9523621201515198, 0.9761810898780823)","(-0.3452214002609253,)","(-0.5825492143630981,)",404.415008545
1970/01/01/02:06:44.451000,1966,0,0,,"(-0.5633749961853027, 0.13860629498958588, -0.5243810415267944, 0.07698117196559906, -0.15393288433551788, 0.061888426542282104, -0.20388062298297882, 0.08065004646778107)","(0.7329959273338318, 0.10753042995929718, -0.0032096593640744686, -0.057833679020404816)","(-0.3610295355319977, -0.7227863669395447, 0.9429817199707031, 0.9714908599853516)","(-0.36139237880706787,)","(-0.7236374020576477,)",404.444000244
