time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.errors,.cmds,.ekf_output,.e_m,.e_m_dot,.time
1970/01/01/02:06:44.463000,1967,0,0,,"(-0.5720745325088501, 0.14324600994586945, -0.5288377404212952, 0.08159752190113068, -0.14650335907936096, 0.0618826299905777, -0.19645169377326965, 0.08064401149749756)","(0.798179566860199, 0.17467284202575684, -0.0032811854034662247, -0.047005001455545425)","(-0.3606044054031372, -0.6212195754051208, 0.9497411847114563, 0.9748706221580505)","(-0.36096683144569397,)","(-0.6219697594642639,)",404.460998535
1970/01/01/02:06:44.513000,1968,0,0,,"(-0.5745266079902649, 0.11581400036811829, -0.5345101952552795, 0.056375253945589066, -0.14879140257835388, 0.0354941263794899, -0.19636774063110352, 0.05590913072228432)","(0.8042967915534973, 0.08702100813388824, -0.0007790581439621747, -0.046977754682302475)","(-0.36318397521972656, -0.5835915207862854, 0.9522454142570496, 0.9761227369308472)","(-0.36354899406433105,)","(-0.5843042731285095,)",404.497009277
1970/01/01/02:06:44.549000,1969,0,0,,"(-0.5993555188179016, 0.05517043173313141, -0.560834527015686, -0.003908914048224688, -0.14470353722572327, -0.03480556234717369, -0.18256549537181854, -0.006507121957838535)","(0.9365289807319641, 0.09227367490530014, 0.0029519307427108288, 0.0066099888645112514)","(-0.3714914619922638, -0.6595125794410706, 0.9471927285194397, 0.9735963940620422)","(-0.37186479568481445,)","(-0.6603007912635803,)",404.540008545
1970/01/01/02:06:44.587000,1970,0,0,,"(-0.5952363610267639, 0.023406701162457466, -0.5464038252830505, -0.03464195132255554, -0.13869331777095795, -0.06696249544620514, -0.18175722658634186, -0.03748948872089386)","(1.0193192958831787, 0.09962975233793259, 0.0029517807997763157, 0.03396188095211983)","(-0.3651556968688965, -0.2519960105419159, 0.9743137359619141, 0.987156867980957)","(-0.36552268266677856,)","(-0.2523793876171112,)",404.582000732
1970/01/01/02:06:44.617000,1971,0,0,,"(-0.5860157012939453, -0.00911443866789341, -0.5388264060020447, -0.06646773219108582, -0.11931776255369186, -0.10266359895467758, -0.15605419874191284, -0.06821989268064499)","(0.9685632586479187, 0.1003277599811554, 0.0019907387904822826, 0.06695917993783951)","(-0.34970197081565857, 0.012026731856167316, 0.9918849468231201, 0.9959424734115601)","(-0.3500535190105438,)","(0.011905611492693424,)",404.609985352
1970/01/01/02:06:44.646000,1972,0,0,,"(-0.5651947259902954, -0.03914514556527138, -0.511384129524231, -0.09694932401180267, -0.10154694318771362, -0.12265519797801971, -0.13661079108715057, -0.09240451455116272)","(0.9366472959518433, 0.060892608016729355, -0.0011865431442856789, 0.08453129976987839)","(-0.3283539116382599, 0.35503146052360535, 1.0147125720977783, 1.0073562860488892)","(-0.32868415117263794,)","(0.3552510440349579,)",404.641998291
1970/01/01/02:06:44.686000,1973,0,0,,"(-0.5324661731719971, -0.056506458669900894, -0.47999095916748047, -0.11906055361032486, -0.06477377563714981, -0.14360912144184113, -0.09891952574253082, -0.11029587686061859)","(0.8389919400215149, -0.004427090287208557, -0.0013025262160226703, 0.09722425043582916)","(-0.29374194145202637, 0.8543355464935303, 1.0479421615600586, 1.0239710807800293)","(-0.2940376102924347,)","(0.8550511002540588,)",404.674987793
1970/01/01/02:06:44.732000,1974,0,0,,"(-0.5027735233306885, -0.07469715923070908, -0.4441532790660858, -0.1387636959552765, -0.02833871729671955, -0.1491958647966385, -0.06615731865167618, -0.12191364169120789)","(0.7663719058036804, -0.15696588158607483, -0.0023467796854674816, 0.075617715716362)","(-0.26009365916252136, 1.1463723182678223, 1.0673778057098389, 1.0336889028549194)","(-0.26035571098327637,)","(1.1473779678344727,)",404.721008301
1970/01/01/02:06:44.760000,1975,0,0,,"(-0.4627035856246948, -0.08198962360620499, -0.40225133299827576, -0.1474246233701706, 0.004064944107085466, -0.16099928319454193, -0.03330322355031967, -0.1311577409505844)","(0.6492927074432373, -0.12118712067604065, -0.0023527175653725863, 0.10846959799528122)","(-0.22332298755645752, 1.270969033241272, 1.0756698846817017, 1.0378350019454956)","(-0.2235483080148697,)","(1.272098422050476,)",404.752990723
1970/01/01/02:06:44.797000,1976,0,0,,"(-0.4379454255104065, -0.09469539672136307, -0.37244606018066406, -0.161082461476326, 0.041697729378938675, -0.1644664853811264, 0.0007637667586095631, -0.14015576243400574)","(0.5945070385932922, -0.31980323791503906, -0.0022378622088581324, 0.06678983569145203)","(-0.1917886734008789, 1.2148370742797852, 1.0719342231750488, 1.0359671115875244)","(-0.19198249280452728,)","(1.2159106731414795,)",404.783996582
1970/01/01/02:06:44.840000,1977,0,0,,"(-0.4128059446811676, -0.10826501995325089, -0.35362109541893005, -0.1744130402803421, 0.05831978842616081, -0.18101058900356293, 0.027382930740714073, -0.15654030442237854)","(0.5366984009742737, -0.3589867353439331, -0.003426225855946541, 0.07719895988702774)","(-0.17000901699066162, 0.7827017307281494, 1.0431748628616333, 1.0215873718261719)","(-0.17018108069896698,)","(0.7833461761474609,)",404.838012695
1970/01/01/02:06:44.904000,1978,0,0,,"(-0.4052639305591583, -0.10824554413557053, -0.33471816778182983, -0.1707250475883484, 0.08341050148010254, -0.1856265813112259, 0.0399729385972023, -0.16106662154197693)","(0.5532445907592773, -0.36964693665504456, -0.0036122093442827463, 0.0763043761253357)","(-0.1539936065673828, 0.6541131138801575, 1.0346170663833618, 1.0173084735870361)","(-0.15414966642856598,)","(0.6546297669410706,)",404.869995117
